Ticker,Name
20MICRONS.NS,20 Microns Limited
3IINFOTECH-BE.NS,3I INFOTECH LTD.
3IINFOTECH-EQ.NS,3I INFOTECH LTD INR10
3IINFOTECH.NS,3i Infotech Limited
3MINDIA.NS,3M India Limited
3RDROCK-EQ.NS,3RD ROCK MULTIMEDI INR10
3RDROCK-IT.NS,3rd Rock Multimedia Ltd
3RDROCK.NS,3rd Rock Multimedia Limited
549-MF.NS,SUNDARAM ASSET MAN TOP 100 III(
8KMILES-EQ.NS,8K MILES SOFTWARE INR5 (DEMAT)
8KMILES.NS,8K Miles Software Services Limited
A2ZINFRA-EQ.NS,A2Z INFRA ENGINEER INR10
A2ZINFRA.NS,A2Z Infra Engineering Limited
AARTIDRUGS-EQ.NS,AARTI DRUGS LTD INR10
AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND-EQ.NS,AARTI INDUSTRIES LIMITED
AARTIIND.NS,Aarti Industries Limited
AARVEEDEN.NS,Aarvee Denims and Exports Limited
ABAN.NS,Aban Offshore Limited
ABB.NS,ABB India Limited
ABBOTINDIA.NS,Abbott India Limited
ABCIL-EQ.NS,ADITYA BIRLA CHEMICALS (INDIA)
ABCIL.NS,Aditya Birla Chemicals (India) Limited
ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABGSHIP.NS,ABG Shipyard Limited
ABHISHEK.NS,Abhishek Corporation Ltd
ABIRLANUVO-EQ.NS,ADITYA BIRLA NUVO LIMITED
ABIRLANUVO.NS,Aditya Birla Nuvo Limited
ACC.NS,ACC Limited
ACCELYA-EQ.NS,ACCELYA KALE SOLUT INR10
ACCELYA.NS,Accelya Kale Solutions Limited
ACE.NS,Action Construction Equipment Limited
ACROPETAL-BE.NS,ACROPETAL TECHNOLO INR10
ACROPETAL-EQ.NS,ACROPETAL TECHNOLOGIES LIMITED
ACROPETAL.NS,Acropetal Technologies Limited
ADANIENT.NS,Adani Enterprises Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
ADANIPOWER.NS,Adani Power Limited
ADANITRANS-BE.NS,Adani Transmission Ltd
ADANITRANS-EQ.NS,ADANI TRANSMISS.IN INR1
ADANITRANS.NS,Adani Transmissions Limited
ADFFOODS-EQ.NS,ADF FOODS LIMITED
ADFFOODS.NS,ADF Foods Limited
ADHUNIK-EQ.NS,ADHUNIK METALIKS LIMITED
ADHUNIK.NS,Adhunik Metaliks Limited
ADI-EQ.NS,ADI FINECHEM LTD INR10
ADI.NS,ADI FINECHEM LTD INR10
ADLABS-EQ.NS,ADLABS ENTERTAINME INR10
ADLABS.NS,Adlabs Entertainment Limited
ADORWELD.NS,Ador Welding Limited
ADSL-EQ.NS,ALLIED DIGITAL SER INR5
ADSL.NS,Allied Digital Services Ltd
ADVANIHOTR-EQ.NS,ADVANI HOTELS & RE INR2.00
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADVANTA.NS,Advanta Limited
AEGISCHEM.NS,Aegis Logistics Limited
AFL-EQ.NS,ACCEL FRONTLINE LIMITED
AFL.NS,Accel Frontline Limited
AFTEK-BE.NS,AFTEK-BE.NS
AFTEK-BZ.NS,AFTEK LIMITED
AFTEK.NS,Aftek Limited
AGARIND-EQ.NS,AGARWAL INDUSTRIAL INR10
AGARIND.NS,Agarwal Industrial Corporation Ltd.
AGCNET.NS,AGC Networks Limited
AGRITECH-BE.NS,Agri-Tech (India) Limited
AGRITECH-EQ.NS,AGRI-TECH (INDIA) INR10
AGRITECH.NS,Agri-Tech (India) Ltd
AGRODUTCH-BE.NS,AGRO DUTCH INDUSTRIES LTD
AGRODUTCH.NS,Agro Dutch Industries Limited
AHIMSA-SI.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SL.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SM.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SO.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SP.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SQ.NS,AHIMSA INDUSTRIES INR10
AHIMSA-ST.NS,AHIMSA INDUSTRIES INR10
AHLEAST.NS,Asian Hotels (East) Limited
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AHLWEST.NS,Asian Hotels (West) Limited
AHMEDFORG.NS,Metalyst Forgings Limited
AIAENG.NS,AIA Engineering Limited
AICHAMP-EQ.NS,AI CHAMPDANY INDUS INR5
AICHAMP.NS,AI Champdany Industries Limited
AIFL-EQ.NS,ASHAPURA INTIMATES INR10
AIFL.NS,Ashapura Intimates Fashion Limited
AIL.NS,GE Power India Limited
AJANTPHARM.NS,Ajanta Pharma Limited
AJMERA.NS,Ajmera Realty & Infra India Limited
AKSHOPTFBR.NS,Aksh Optifibre Limited
